company,website,symbol,dividend,anouncement_date,record_date,ex_date,pay_date
Altra Industrial Motion Corp,http://www.altramotion.com,AIMC,0.17,2018-10-16,2018-12-17,2018-12-14,2019-01-03
American Railcar Industries Inc,http://www.americanrailcar.com,ARII,0.4,2018-10-30,2018-12-17,2018-12-14,2018-12-27
Amphenol Corp,http://www.amphenol.com,APH,0.23,2018-11-01,2018-12-17,2018-12-14,2019-01-08
Ares Management LP,http://www.aresmgmt.com,ARES,0.28,2018-11-01,2018-12-17,2018-12-14,2018-12-31
Banc of California Inc,http://www.bancinc.com,BANC,0.13,2018-11-15,2018-12-17,2018-12-14,2019-01-02
Berry Petroleum Corp,http://www.berrypetroleum.com,BRY,0.12,2018-11-07,2018-12-17,2018-12-14,2019-01-15
BlackRock TCP Capital Corp,http://www.tcpcapital.com,TCPC,0.36,2018-11-08,2018-12-17,2018-12-14,2018-12-31
DTE Energy Co,http://www.dteenergy.com,DTE,0.945,2018-11-09,2018-12-17,2018-12-14,2019-01-15
First Citizens BancShares Inc,http://www.firstcitizens.com,FCNCA,0.4,2018-10-25,2018-12-17,2018-12-14,2019-01-07
Iron Mountain Inc,http://www.ironmountain.com,IRM,0.611,2018-10-25,2018-12-17,2018-12-14,2019-01-03
KBR Inc,http://www.kbr.com,KBR,0.08,2018-10-10,2018-12-17,2018-12-14,2019-01-15
Merck & Co Inc,http://www.merck.com,MRK,0.55,2018-10-25,2018-12-17,2018-12-14,2019-01-08
Methanex Corp,,MX:CA,0.33,2018-11-13,2018-12-17,2018-12-14,2018-12-31
MTS Systems Corp,http://www.mts.com,MTSC,0.3,2018-11-13,2018-12-17,2018-12-14,2018-12-31
NewMarket Corp,http://www.newmarket.com,NEU,1.75,2018-10-25,2018-12-17,2018-12-14,2019-01-02
NexPoint Residential Trust Inc,http://www.nexpointliving.com,NXRT,0.275,2018-10-30,2018-12-17,2018-12-14,2018-12-31
OFS Capital Corp,http://www.ofscapital.com,OFS,0.34,2018-11-02,2018-12-17,2018-12-14,2018-12-31
Owens & Minor Inc,http://www.owens-minor.com,OMI,0.075,2018-10-31,2018-12-17,2018-12-14,2019-01-02
Oxford Square Capital Corp,http://www.ticc.com,OXSQ,0.2,2018-10-30,2018-12-17,2018-12-14,2018-12-31
Rayonier Advanced Materials Inc,http://www.rayonieram.com,RYAM,0.07,2018-10-04,2018-12-17,2018-12-14,2018-12-31
Rayonier Inc,http://www.rayonier.com,RYN,0.27,2018-10-19,2018-12-17,2018-12-14,2018-12-31
Restaurant Brands International Inc,,QSR:CA,0.45,2018-10-24,2018-12-17,2018-12-14,2019-01-04
Restaurant Brands International LP,,QSP_UN:CA,0.45,2018-10-24,2018-12-17,2018-12-14,2019-01-04
SpartanNash Co,http://www.spartannash.com,SPTN,0.18,2018-11-16,2018-12-17,2018-12-14,2018-12-31
Spirit AeroSystems Holdings Inc,http://www.spiritaero.com,SPR,0.12,2018-10-24,2018-12-17,2018-12-14,2019-01-07
Stock Yards Bancorp Inc,http://www.syb.com,SYBT,0.25,2018-11-21,2018-12-17,2018-12-14,2018-12-31
Thermo Fisher Scientific Inc,http://www.thermofisher.com,TMO,0.17,2018-11-08,2018-12-17,2018-12-14,2019-01-15
U.S. Global Investors Inc,http://www.usfunds.com,GROW,0.0025,2018-10-03,2018-12-17,2018-12-14,2018-12-31
Viacom Inc,http://www.viacom.com,VIAB,0.2,2018-11-16,2018-12-17,2018-12-14,2019-01-02
Apple Hospitality REIT Inc,http://www.applehospitalityreit.com,APLE,0.1,2018-11-20,2018-12-03,2018-11-30,2018-12-17
Ashland Global Holdings Inc,http://www.ashland.com,ASH,0.25,2018-11-15,2018-12-03,2018-11-30,2018-12-15
Associated Banc-Corp,http://www.associatedbank.com,ASB,0.17,2018-10-23,2018-12-03,2018-11-30,2018-12-17
Atrion Corp,http://www.atrioncorp.com,ATRI,1.35,2018-11-12,2018-12-03,2018-11-30,2018-12-17
Ball Corp,http://www.ball.com,BLL,0.1,2018-10-24,2018-12-03,2018-11-30,2018-12-17
Baxter International Inc,http://www.baxter.com,BAX,0.19,2018-11-13,2018-12-03,2018-11-30,2019-01-02
Boise Cascade Co,http://www.bc.com,BCC,0.09,2018-11-02,2018-12-03,2018-11-30,2018-12-17
BorgWarner Inc,http://www.borgwarner.com,BWA,0.17,2018-11-08,2018-12-03,2018-11-30,2018-12-17
Bruker Corp,http://www.bruker.com,BRKR,0.04,2018-11-09,2018-12-03,2018-11-30,2018-12-21
Cadence Bancorp,http://www.cadencebank.com,CADE,0.15,2018-10-22,2018-12-03,2018-11-30,2018-12-17
Capital City Bank Group Inc,http://www.ccbg.com,CCBG,0.09,2018-11-19,2018-12-03,2018-11-30,2018-12-17
Cathay General Bancorp,http://www.cathaybank.com,CATY,0.31,2018-11-16,2018-12-03,2018-11-30,2018-12-13
CDK Global Inc,http://www.cdkglobal.com,CDK,0.15,2018-11-13,2018-12-03,2018-11-30,2018-12-28
Clearway Energy Inc,http://investor.clearwayenergy.com,CWEN/A,0.331,2018-11-06,2018-12-03,2018-11-30,2018-12-17
CNB Financial Services Inc,,CBFC,0.58,2018-11-16,2018-12-03,2018-11-30,2018-12-13
CNB Financial Services Inc,,CBFC,0.95,2018-11-20,2018-12-03,2018-11-30,2018-12-13
Columbia Property Trust Inc,http://www.columbia.reit,CXP,0.2,2018-11-13,2018-12-03,2018-11-30,2019-01-04
Compass Minerals International Inc,http://www.compassminerals.com,CMP,0.72,2018-11-08,2018-12-03,2018-11-30,2018-12-17
Connecticut Water Service Inc,http://www.ctwater.com,CTWS,0.3125,2018-11-19,2018-12-03,2018-11-30,2018-12-17
Cooper Tire & Rubber Co,http://www.coopertire.com,CTB,0.105,2018-10-26,2018-12-03,2018-11-30,2018-12-28
Diamond Hill Investment Group Inc,http://www.diamond-hill.com,DHIL,8,2018-10-30,2018-12-03,2018-11-30,2018-12-11
